id,type,governance,maturity,delivery,scope,kind,statement
MAN-function-src-builder-cards-card-registry,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: card.registry (src/builder/cards/card.registry.ts).
MAN-function-src-builder-cards-carddrag-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: cardDrag.helpers (src/builder/cards/cardDrag.helpers.ts).
MAN-function-src-builder-cards-cardselection-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: cardSelection.helpers (src/builder/cards/cardSelection.helpers.ts).
MAN-function-src-builder-cards-dragdrophelpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: dragDropHelpers (src/builder/cards/dragDropHelpers.ts).
MAN-function-src-builder-cards-handlecarddrop,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: handleCardDrop (src/builder/cards/handleCardDrop.ts).
MAN-function-src-builder-cards-templates-phase-phase-icons,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: phase.icons (src/builder/cards/templates/phase/phase.icons.ts).
MAN-function-src-builder-cards-templates-phase-readiness-label,Manifestation,proposed,logic-defined,implemented,frontend,function,"Canonical human-readable phase readiness presentation labels: READINESS_LABEL map plus readinessAriaLabel (screen-reader text) and readinessTooltip (hover text) helpers, reused by the collapsed/expanded phase readiness markers and PhaseReadinessBadge (src/builder/cards/templates/phase/readiness-label.ts). Added in CC-4 readiness accessibility."
MAN-function-src-builder-dropzones-dropzone-registry,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: dropzone.registry (src/builder/dropzones/dropzone.registry.ts).
MAN-function-src-builder-import-import-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: import.helpers (src/builder/import/import.helpers.ts).
MAN-function-src-builder-islands-editorviewerisland-editor-node-helpers,Manifestation,proposed,logic-defined,implemented,frontend,function,"Pure helper functions and type definitions for editor node resolution: DayNode, EditorNode, createDayNode, findEditorNode, getInitialDraft (src/builder/islands/EditorViewerIsland/editor-node.helpers.ts). Extracted from useEditorState.ts during CC-1 file-size split."
MAN-function-src-builder-islands-island-registry,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: island.registry (src/builder/islands/island.registry.ts).
MAN-function-src-builder-islands-selectionisland-selection-utils,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: selection.utils (src/builder/islands/SelectionIsland/selection.utils.ts).
MAN-function-src-builder-shared-channel-icons,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: channel.icons (src/builder/shared/channel.icons.ts).
MAN-function-src-builder-stage-stage-registry,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: stage.registry (src/builder/stage/stage.registry.ts).
MAN-function-src-builder-stage-stagecontext-types,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: stageContext.types (src/builder/stage/stageContext.types.ts).
MAN-function-src-builder-stage-stagelayoutcontract,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: StageLayoutContract (src/builder/stage/StageLayoutContract.ts).
MAN-function-src-builder-stage-views-timeline-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: timeline.helpers (src/builder/stage/views/timeline.helpers.ts).
MAN-function-src-builder-ui-buttons-index,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: index (src/builder/ui/buttons/index.ts).
MAN-function-src-builder-ui-forms-channel-index,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: index (src/builder/ui/forms/channel/index.ts).
MAN-function-src-builder-ui-forms-subtask-index,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: index (src/builder/ui/forms/subtask/index.ts).
MAN-function-src-lib-utils,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: utils (src/lib/utils.ts).
MAN-function-src-mock-channels,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: channels (src/mock/channels.ts).
MAN-function-src-mock-compositions,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: compositions (src/mock/compositions.ts).
MAN-function-src-mock-constants,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: constants (src/mock/constants.ts).
MAN-function-src-mock-subtask-definitions,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: subtask-definitions (src/mock/subtask-definitions.ts).
MAN-function-src-queries-builder-queries,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: builder.queries (src/queries/builder.queries.ts).
MAN-function-src-queries-channels-queries,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: channels.queries (src/queries/channels.queries.ts).
MAN-function-src-queries-logs-queries,Manifestation,approved,logic-defined,implemented,frontend,function,HV-1 implementation: MAN-function-src-queries-logs-queries
MAN-function-src-queries-query-keys,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: QUERY_KEYS (src/queries/QUERY_KEYS.ts).
MAN-function-src-queries-subtask-definitions-queries,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: subtask-definitions.queries (src/queries/subtask-definitions.queries.ts).
MAN-function-src-queries-versions-queries,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: versions.queries (src/queries/versions.queries.ts).
MAN-function-src-rules-date-rules,Manifestation,proposed,logic-defined,not-assessed,security,function,Code manifestation discovered by RS-R7 inventory: date.rules (src/rules/date.rules.ts).
MAN-function-src-rules-lifecycle-rules,Manifestation,proposed,logic-defined,not-assessed,security,function,Code manifestation discovered by RS-R7 inventory: lifecycle.rules (src/rules/lifecycle.rules.ts).
MAN-function-src-rules-permissions-rules,Manifestation,proposed,logic-defined,not-assessed,security,function,Code manifestation discovered by RS-R7 inventory: permissions.rules (src/rules/permissions.rules.ts).
MAN-function-src-rules-readiness-rules,Manifestation,proposed,logic-defined,not-assessed,security,function,Code manifestation discovered by RS-R7 inventory: readiness.rules (src/rules/readiness.rules.ts).
MAN-function-src-rules-validation-rules,Manifestation,proposed,logic-defined,not-assessed,security,function,Code manifestation discovered by RS-R7 inventory: validation.rules (src/rules/validation.rules.ts).
MAN-function-src-services-logs-service-getallactivitylogs,Manifestation,approved,logic-defined,implemented,frontend,function,HV-1 implementation: MAN-function-src-services-logs-service-getallactivitylogs
MAN-function-src-services-versions-service-getallversions,Manifestation,approved,logic-defined,implemented,frontend,function,HV-1 implementation: MAN-function-src-services-versions-service-getallversions
MAN-function-src-stories-button-stories,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: Button.stories (src/stories/Button.stories.ts).
MAN-function-src-stories-header-stories,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: Header.stories (src/stories/Header.stories.ts).
MAN-function-src-stories-page-stories,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: Page.stories (src/stories/Page.stories.ts).
MAN-function-src-telemetry-capture-sink,Manifestation,approved,logic-defined,implemented,backend,function,Off-by-default backend request/response capture sink (BE3-R5a): records scrubbed apiClient payload shape + timing for backend-readiness discovery; no-op unless VITE_BE3_CAPTURE=1.
MAN-function-src-telemetry-event-names,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: event-names (src/telemetry/event-names.ts).
MAN-function-src-telemetry-optin,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: optin (src/telemetry/optin.ts).
MAN-function-src-ui-atoms-index,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: index (src/ui/atoms/index.ts).
MAN-function-src-ui-forms-date-date-utils,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: date.utils (src/ui/forms/date/date.utils.ts).
MAN-function-src-ui-forms-date-index,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: index (src/ui/forms/date/index.ts).
MAN-function-src-ui-forms-inputs-index,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: index (src/ui/forms/inputs/index.ts).
MAN-function-src-ui-forms-selects-index,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: index (src/ui/forms/selects/index.ts).
MAN-function-src-ui-motion-effects-registry,Manifestation,proposed,logic-defined,implemented,frontend,function,Code manifestation discovered by RS-R7 inventory: effects.registry (src/ui/motion/effects.registry.ts).
MAN-function-src-ui-motion-motion-config,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: motion.config (src/ui/motion/motion.config.ts).
MAN-function-src-utils-browser-storage-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: browser-storage.helpers (src/utils/browser-storage.helpers.ts).
MAN-function-src-utils-composition-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: composition.helpers (src/utils/composition.helpers.ts).
MAN-function-src-utils-date-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: date.helpers (src/utils/date.helpers.ts).
MAN-function-src-utils-export-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: export.helpers (src/utils/export.helpers.ts).
MAN-function-src-utils-id-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: id.helpers (src/utils/id.helpers.ts).
MAN-function-src-utils-node-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: node.helpers (src/utils/node.helpers.ts).
MAN-function-src-utils-preference-helpers,Manifestation,proposed,logic-defined,not-assessed,frontend,function,Code manifestation discovered by RS-R7 inventory: preference.helpers (src/utils/preference.helpers.ts).
