ID,Category,Subcategory,Requirement,Business Description,Functional Detail,Priority,Status,Dependencies,Related Requirements,Affected Modules,UX Impact,Risk,Source,Notes
BC-018,Builder State & Mutation Layer,Import Reconciliation,Matching ID behavior,"If an imported entity ID matches an existing entity ID, update/overwrite it","Import reconciler, update mapper, preview summary.",MVP,Confirmed,Stable IDs,"Persistence, Autosave & Recovery",src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User sees a clean update summary instead of,Medium,Decision Register,Preview can still show updated count/details.
BC-019,Builder State & Mutation Layer,Import Reconciliation,New ID behavior,"If imported data contains new IDs, confirm that new items will be","Import preview modal, add operation mapping.",MVP,Confirmed,Stable IDs,"Persistence, Autosave & Recovery",src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User knows import will add new phases/actions/tasks/subtasks.,Medium,Decision Register,Confirmation can be summary-level.
BC-020,Builder State & Mutation Layer,Import Reconciliation,Missing ID behavior,"If existing IDs are missing from the imported file, alert the user","Import diff engine, delete operation mapping, confirmation modal.",MVP,Confirmed,"Stable IDs, import mode","Persistence, Autosave & Recovery",src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User is protected from accidental deletion.,Medium-high,Decision Register,This is a critical safety rule.
RV-020,Builder State & Mutation Layer,Import/Duplication Engine,Modular import engine,Duplication/import logic should be modular because later the app will support a,"Import/export service, builder mutations, template payload model, Kanban",Seed Now,Confirmed,Templates & Reuse future category,Integration Contracts,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,Future users can save/reuse phase/action/task templates.,Medium-high,Decision Register,This is a future feature that needs architectural preparation now.
BC-009,Builder State & Mutation Layer,Parent Selection Flow,Timeline task parent selection,A timeline-created task must be nested under an existing phase/action or create,"Timeline quick-create UI, parent selector, quick phase/action creation,",MVP,Confirmed,Data Model hierarchy,Validation & Readiness Rules,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User can create a task quickly while keeping,Medium-high,Decision Register,Important UX flow.
RV-017,Builder State & Mutation Layer,Selective Import/Duplication,Selective import on duplication,"When duplicating/importing, user can customize what to bring: phases, actions, tasks, and","Import engine, duplication UI, mapper layer, validation after",MVP / Seed Now,Confirmed,Template/reuse logic,"Persistence, Autosave & Recovery",src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User can reuse only useful parts instead of,Medium-high,Decision Register,This expands beyond simple duplication.
BC-010,Builder State & Mutation Layer,Task Defaults,Minimal timeline task data,"Timeline quick-create can add minimal task data first, then user completes details","Task factory, minimal task defaults, TaskEditor, validation badges.",MVP,Confirmed,Readiness validation,Validation & Readiness Rules,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User can capture the task quickly and configure,Medium,Decision Register,Draft save allowed; Ready blocked until complete.
BC-023,Builder State & Mutation Layer,Template Engine Readiness,Template system readiness,"Import/reuse logic should be modular because later users will save/import phase, action,","Import/export engine, future template DTOs, Kanban Builder Island.",Seed Now / Future,Confirmed,Templates & Reuse category,Integration Contracts,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,Future template feature can reuse the same mechanics.,Medium,Decision Register,"Template DB is future, but architecture should not block it."
RV-021,Builder State & Mutation Layer,Template Import Compatibility,Template source compatibility,The same import structure should support both Ready-version duplication and future template,"Import engine, DTO design, mapper functions, validation after",Seed Now,Confirmed,Modular import engine,Integration Contracts,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User experiences reuse consistently across versions and templates.,Medium,Decision Register,"Template DB itself is not MVP, but the import logic should be ready."
BC-008,Builder State & Mutation Layer,Timeline Quick Create,Timeline day task creation,User can create a task from inside a day in Timeline. The,"DayGridCard, date helpers, task factory, timeline task creation",MVP,Confirmed,Communication date / task date modes,Builder UI Surfaces,src/store/builderStore.ts; src/pages/builder/context/; src/pages/builder/hooks/useBuilderActions.ts; mutation commands,User can quickly add scheduled tasks from the,Medium,Decision Register,Must translate day context into linked/fixed task date correctly.
BC-012,Builder UI Surfaces,Creator Island,Creator Island role,"Creator/Builder Island supports guided creation, shortcuts, and future workflow helpers, but Kanban","CreatorIsland, ViewHelperIsland, useDeliverableWizard, island config.",MVP,Confirmed,Island configuration,Builder State & Mutation Layer,src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User can use guided tools when helpful but,Medium,Decision Register,Needs view compatibility rules.
UP-001,Builder UI Surfaces,Default View,Default Builder view,Default Builder view is Kanban.,"Builder view state, StageManager, KanbanStage, TimelineStage, view switcher.",MVP,Confirmed,Builder Creation Workflow,"Preferences, Session & Telemetry",src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,New versions open in the clearest planning view.,Low,Decision Register,This applies when there is no saved view preference for that user/version.
BC-001,Builder UI Surfaces,Default View,Default creation view,Kanban is the default Builder creation view.,"StageManager, KanbanStage, BuilderKanbanView, view initialization.",MVP,Confirmed,UI Preferences category,"Preferences, Session & Telemetry",src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User starts in the most natural structure-building view.,Low,Decision Register,"If user has saved session state for that version, restore that instead."
BC-011,Builder UI Surfaces,Editor Island,Full task configuration location,Full task configuration happens in the Editor Island / TaskEditor.,"TaskEditor, Editor Island, task card edit actions, validation.",MVP,Confirmed,Task data model,Validation & Readiness Rules,src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User has one place to complete task details.,Medium,Decision Register,Important for missing data/specs validation.
BC-021,Builder UI Surfaces,Import Preview UI,Import preview groups,"Import preview should group changes into updated, added, and deleted/missing items.","Import preview UI, diff summary, readable payload formatter.",MVP,Confirmed,Import reconciliation,Builder State & Mutation Layer,src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User understands impact before confirming.,Medium,Decision Register,Good for debugging and user confidence.
UP-008,Builder UI Surfaces,Island Capability Rules,View-limited islands,Some islands should only be enabled in specific views.,"Island registry, view capability map, disabled/hidden rules.",MVP,Confirmed,View architecture,"Preferences, Session & Telemetry",src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,"Cleaner UI, less confusion.",Medium,Decision Register,Needs a view/island compatibility matrix.
UP-005,Builder UI Surfaces,Island Configuration,Island state model,Island persistence should be controlled by island configuration. Some islands are global,"Island config model, useIslandPanel, island registry/config, StageManager, Kanban/Timeline",MVP + Seed Now,Confirmed,Current island architecture,"Preferences, Session & Telemetry",src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,Island behavior feels intentional in each view.,Medium-high,Decision Register,Marked high importance due to UX complexity.
UP-006,Builder UI Surfaces,Island Configuration,Global islands,Islands that have the same purpose in all views can remember state,"Island config, local state persistence.",MVP,Confirmed,Island state model,"Preferences, Session & Telemetry",src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User can keep useful tools open while switching,Medium,Decision Register,Examples may include file manager/user/save utilities depending on final island map.
UP-007,Builder UI Surfaces,Island Configuration,View-specific islands,Islands with different meaning/actions per view should store state separately per view.,"Island config, view-specific preference keys.",MVP,Confirmed,Island state model,"Preferences, Session & Telemetry",src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User does not see irrelevant panels after switching,Medium,Decision Register,Needs audit against current code files.
BC-003,Builder UI Surfaces,Kanban Stage,Kanban creation scope,"User can create phases, actions, and tasks in Kanban.","BuilderKanbanView, HorizontalBoard, KanbanColumn, phase/action/task cards, builderMutations.",MVP,Confirmed,Data Model hierarchy,Builder State & Mutation Layer,src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User can build the full DCX hierarchy in,Medium,Decision Register,This matches the existing product/code direction.
BC-025,Builder UI Surfaces,Template Entry Point,Save as template entry,Future “save as template” action should likely live in Kanban Builder Island,"Kanban Builder Island, phase/action/task menus, template service later.",Future / Seed Now,Proposed,Template DB,Integration Contracts,src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User can save reusable parts from the Builder.,Medium,Decision Register,Future-facing; not MVP.
BC-007,Builder UI Surfaces,Timeline Stage,Timeline creation scope,"Timeline allows task creation only, not phase/action creation as a main workflow.","TimelineStage, BuilderTimelineView, DayGridCard, task creation handlers.",MVP,Confirmed,Task date model,Domain Model & API Contracts,src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User can add date-contextual tasks without turning Timeline,Medium,Decision Register,Timeline task creation must still respect hierarchy.
DM-022,Builder UI Surfaces,Timeline/Day View Model,Timeline/day views,"Timeline, weekly, monthly, and day views are generated from task dates. They","Timeline views, day cards, date helpers.",MVP,Confirmed,Task date model,Domain Model & API Contracts,src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User can switch views without creating backend complexity.,Low-medium,Decision Register,View-only transformations.
BC-013,Builder UI Surfaces,View-Specific Tools,View-specific creation tools,Creation tools should respect the current view’s capabilities.,"Island config, view capability matrix, StageManager.",MVP + Seed Now,Confirmed,UI Preferences / Island config,"Preferences, Session & Telemetry",src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,User sees only relevant creation actions.,Medium,Decision Register,Aligns with island behavior decisions.
UP-020,Builder UI Surfaces,View/Island Compatibility Matrix,View and island compatibility matrix,"The app should define which islands are global, view-specific, or view-limited against","Island config file/registry, StageManager, view modules, island modules.",MVP + Seed Now,Confirmed,Current island code structure,"Preferences, Session & Telemetry",src/pages/builder/stage/; src/pages/builder/cards/; src/pages/builder/islands/; src/pages/builder/kanban/; src/pages/builder/timeline/,More predictable workspace behavior.,Medium-high,Decision Register,Should be tested against current code files.
DM-019,Domain Model & API Contracts,API/Domain/Builder Mapping,API/domain/builder mappers,"API, domain/app model, and builder render model should be separated through mapper","api-mappers.ts, node.helpers.ts, BuilderNode, service layer.",Seed Now,Confirmed,Backend types,Builder State & Mutation Layer,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,Users get stable behavior while UI can evolve.,Medium,Decision Register,This is critical for final backend plan.
DM-018,Domain Model & API Contracts,Backend Naming Contract,Backend naming,Backend should use clean domain naming like actions[]; builder UI can map,"api.ts, api-mappers.ts, node.helpers.ts, types/domain.ts.",Seed Now,Confirmed,Mapper layer,Integration Contracts,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,"No visible UX impact, but keeps future backend",Medium,Decision Register,Important for backend readiness.
DM-024,Domain Model & API Contracts,Centralized Date Logic,Centralized date logic,"Date calculations should live in shared helpers, not scattered across cards/islands/timeline components.","date.helpers.ts, timelineHelpers.ts, TaskEditor date controls.",MVP + Seed Now,Confirmed,Date model,Builder UI Surfaces,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User sees consistent date behavior everywhere.,Medium,Decision Register,Important implementation rule.
DM-001,Domain Model & API Contracts,Core Hierarchy,Official DCX structure,Official saved structure is Version → Phase → Action → Task.,"types/domain.ts, types.ts, api.ts, BuilderNode, node.helpers.ts, api-mappers.ts.",MVP,Confirmed,None,Builder State & Mutation Layer,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,"Users think in phases, actions, and tasks without",Low,Decision Register,This is the core product hierarchy.
DM-002,Domain Model & API Contracts,Core Hierarchy,Subtask role,"Subtasks are saved inside tasks but are task details/configuration, not a major","Task type, TaskEditor, task factory, validation, task card",MVP,Confirmed,Task editor structure,Builder UI Surfaces,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User configures tasks without cluttering the main builder,Low-medium,Decision Register,Subtasks can still be displayed inside task details.
DM-013,Domain Model & API Contracts,Date Propagation,Communication date update,Updating/adding communication date recalculates linked task dates dynamically. It should not be,"Date resolver, version update logic, timeline refresh, save",MVP,Confirmed,Linked task date model,"Persistence, Autosave & Recovery",src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User changes one date and sees linked schedule,Medium,Decision Register,Important cost-control decision.
DM-014,Domain Model & API Contracts,Date Propagation Exception,Fixed date exception,Fixed/custom task dates are excluded from communication-date shifting.,"Date resolver, TaskEditor, validation.",MVP,Confirmed,Fixed/custom task date,,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User trusts that custom dates stay fixed.,Low,Decision Register,Needs clear UI cue.
DM-012,Domain Model & API Contracts,Date Resolution Strategy,Resolved date strategy,"Resolved calendar dates are calculated when needed, not stored as the source","Date helpers, timeline helpers, mappers, display components.",MVP + Seed Now,Confirmed,Task date modes,Builder UI Surfaces,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User sees correct dates while backend keeps simple,Medium,Decision Register,Resolved date can be cached only if needed.
DM-015,Domain Model & API Contracts,Derived Span Logic,Action date span,Action start/end dates are calculated from the earliest/latest task dates inside the,"date.helpers.ts, timelineHelpers.ts, action cards, mappers.",MVP,Confirmed,Task dates,Builder UI Surfaces,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User sees action span automatically update as tasks,Medium,Decision Register,Could be cached for display/performance.
DM-016,Domain Model & API Contracts,Derived Span Logic,Phase date span,Phase start/end dates are calculated from the earliest/latest task/action dates inside the,"Phase cards, timeline, date helpers, mapper layer.",MVP,Confirmed,Action/task dates,Builder UI Surfaces,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User sees phase duration based on actual plan.,Medium,Decision Register,Could be cached but not treated as truth.
DM-011,Domain Model & API Contracts,Fixed Date Model,Fixed/custom task date,"If a task is unlinked, it becomes a fixed/custom calendar date and","Task date object, TaskEditor, date display logic, validation.",MVP,Confirmed,Task date modes,,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User can intentionally lock a task date.,Low-medium,Decision Register,UI should label this as custom/unlinked.
DM-010,Domain Model & API Contracts,Linked Date Model,Linked task date,"Linked task date stores relative position from communication date, not the final","Date resolver, mapper layer, timeline views, validation.",MVP,Confirmed,Communication date anchor,,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,Linked tasks automatically shift when the communication date,Medium,Decision Register,Reduces future API/database operations.
DM-003,Domain Model & API Contracts,Parent/Relationship Rules,Task parent rule,A task cannot exist without an action.,"Task creation flows, CreatorIsland, builderMutations, validation, API payload.",MVP,Confirmed,Official hierarchy,Validation & Readiness Rules,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User must place tasks under an action.,Low,Decision Register,Bottom-up creation can still exist only if it asks where the task belongs.
BC-017,Domain Model & API Contracts,Stable Entity IDs,Stable IDs for import,Supabase-backed entities must have stable IDs from phase to subtask.,"Supabase schema, API DTOs, JSON backup schema, import",MVP,Confirmed,Backend data model,Integration Contracts,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User can restore/update work accurately.,Medium,Decision Register,"Applies to phaseId, actionId, taskId, subtaskId."
DM-017,Domain Model & API Contracts,Stored vs Derived Fields,Stored vs calculated fields,Task dates are source of truth. Action/phase spans may be cached for,"Backend DTOs, API mappers, date helpers, timeline views.",MVP + Seed Now,Confirmed,Date model,"Persistence, Autosave & Recovery",src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,UI remains fast without confusing the user.,Medium,Decision Register,"If cached, backend must know they are derived."
DM-009,Domain Model & API Contracts,Task Date Model,Task date modes,"Task date is stored as a mode object: unset, linked, or fixed.","TaskDate type, api.ts, domain.ts, TaskEditor date controls, mappers.",MVP,Confirmed,Date helper centralization,Builder UI Surfaces,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User can choose linked or custom dates without,Medium,Decision Register,This should be a central domain type.
DM-008,Domain Model & API Contracts,TBD Date Handling,TBD communication date behavior,"If communication date is TBD, linked task dates stay as relative offsets","TaskDate, date resolver, validation, display state.",MVP,Confirmed,Communication date anchor,Builder UI Surfaces,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User sees relative planning logic even before final,Medium,Decision Register,UI should clearly show unresolved linked dates.
DM-006,Domain Model & API Contracts,Version Date Model,Version communication date,"Version has a communication date, but it can also be To Be","Version creation form, version type, builder loader, date",MVP,Confirmed,Version lifecycle/status,Lifecycle & Version Status Rules,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User can start planning earlier without fake dates.,Low-medium,Decision Register,TBD state affects linked dates.
